This file was created by CMPT_PRIOR_RETS using the 202302 CRSP database.
It contains value- and equal-weighted returns for  10 prior-return portfolios.
The portfolios are constructed monthly. PRIOR_RET is from -60 to -13.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
193101,  19.33,  15.21,   5.60,  10.72,  10.07,   8.94,   7.21,   8.34,   5.47,   3.62
193102,  17.34,  16.04,  12.50,   8.78,  10.23,   6.31,   5.46,   6.94,  11.41,  15.89
193103,   2.79,  -3.67,  -3.44,  -9.80, -10.23,  -8.99, -11.62,  -5.50,  -4.75,  -4.67
193104,  -9.83, -17.52, -13.06, -12.24, -11.89, -10.11, -10.38,  -6.06, -12.31,  -9.14
193105, -23.98, -16.44, -18.52, -12.03, -14.52, -13.59, -11.13, -11.98, -16.55, -12.96
193106,  20.88,  22.06,  22.27,  15.04,  21.05,  16.98,  12.28,  13.40,  15.66,  13.92
193107,   0.27,  -6.31,  -4.44,  -3.66,  -5.84,  -9.13,  -7.88,  -7.19,  -8.46,  -5.80
193108,  -8.75,   2.25,  -6.88,  -0.67,  -2.19,   2.22,  -0.07,  -0.32,   1.39,  -2.02
193109, -40.99, -36.34, -36.73, -33.61, -31.05, -29.29, -27.24, -24.50, -28.15, -32.81
193110,   8.48,  21.80,  10.34,  20.11,   7.00,   3.70,   5.45,   9.48,   6.56,  10.11
193111,   9.03, -12.85, -10.47,  -7.97, -11.34, -11.94, -11.32, -10.86,  -8.74,  -5.98
193112, -25.51, -17.87, -22.29, -20.22, -17.83, -21.18, -15.45, -12.61, -11.94,  -9.72
193201,  10.91,   6.97,   4.88,  -2.12,   5.23,   2.82,   2.58,   2.48,  -3.80,  -5.07
193202,   1.41,   3.67,   5.83,  -1.77,   7.41,   3.60,  -1.41,   4.62,   8.09,   7.39
193203, -11.75, -15.41,  -8.06,  -6.48, -11.07, -14.56, -10.87,  -8.02, -13.66, -10.62
193204, -11.45, -22.29, -17.33,  -9.51, -16.20, -10.68, -19.68, -20.02, -19.96, -18.44
193205, -16.11, -12.02, -19.23, -25.72, -19.72, -24.83, -20.36, -19.58, -15.22, -26.76
193206,   7.16,  -3.10,   9.61,   1.91,   0.70,   6.94,   7.61,  -0.08,  -5.72,   2.63
193207,  43.60,  57.16,  59.32,  45.73,  51.61,  47.33,  38.59,  36.95,  39.94,  26.59
193208,  76.47,  67.73,  57.57,  49.85,  55.26,  42.76,  48.21,  35.28,  33.10,  30.68
193209, -19.00, -14.73,  -6.92, -10.31,  -0.83,  -8.97,  -6.12,  -1.00,  -3.63,  -0.31
193210, -16.76, -21.30, -17.32, -20.95, -20.84, -18.16, -13.91, -14.33, -13.29,  -8.59
193211,  -3.01, -18.07, -11.82,  -9.54, -10.50,  -9.95,  -7.40, -10.07,  -3.08,  -3.41
193212,  -8.68,  -9.33,  -6.27,  -1.29,  -1.40,  -1.60,  -1.01,   5.47,   7.48,   6.27
193301,  -2.70,  13.00,   6.93,   3.08,   7.79,   0.76,   4.34,   2.07,   1.40,   0.06
193302, -15.30, -23.05, -22.20, -14.55, -19.85, -17.82, -16.45, -17.86, -15.80, -11.43
193303,  16.58,  15.47,   3.66,   9.91,  12.65,  11.83,   6.42,   7.99,   5.56,  -3.23
193304,  66.55,  89.33,  63.83,  61.08,  63.59,  54.70,  60.35,  44.42,  33.62,  21.56
193305,  91.63,  64.60,  49.14,  38.83,  37.96,  25.29,  22.26,  24.44,  12.05,  14.36
193306,  18.86,  22.08,  22.91,  18.36,  13.95,  17.91,  21.10,  11.40,  12.89,   7.63
193307,  -4.21, -10.14,  -8.88, -12.35, -13.22,  -7.21, -13.96, -12.80,  -7.22,  -6.18
193308,   7.25,  14.28,  18.60,  20.91,  21.22,  18.17,  14.60,  16.10,   9.86,   6.73
193309, -14.55, -24.60, -21.79, -15.87, -14.64, -14.49, -11.52,  -7.94, -10.35,  -5.77
193310, -13.10, -18.26, -15.31, -13.04, -14.21, -10.82, -11.53,  -5.88,  -9.26,  -5.73
193311,   0.61,  11.89,  11.71,  11.41,  14.70,  17.62,  13.80,  15.39,   8.90,   4.98
193312,   0.65,   2.94,   1.26,   2.15,   1.77,   3.27,   5.50,   3.77,   1.98,  -1.22
193401,  38.01,  37.12,  31.24,  23.42,  15.07,  15.51,  16.49,  11.95,   9.52,   6.53
193402,   4.34,  -2.07,  -1.70,   0.71,  -3.54,  -2.61,  -3.20,  -3.20,  -3.22,  -1.27
193403,   2.04,  -0.59,   1.36,  -0.08,   0.81,  -0.63,  -0.75,   0.53,   0.25,   0.30
193404,  -3.36,  -7.73,  -1.36,  -4.82,  -4.54,  -4.86,  -3.17,  -1.08,  -1.03,   1.09
193405, -12.13, -11.23, -12.60, -13.54, -13.11, -10.04,  -8.75,  -8.87,  -5.26,  -2.15
193406,  -4.91,  -3.91,   2.96,   3.26,   5.81,   2.56,   0.21,   3.52,   2.04,   4.68
193407, -26.25, -27.71, -26.89, -22.59, -14.31, -16.63, -10.47, -10.33,  -4.75,  -4.83
193408,  16.92,  11.90,  10.62,  10.79,   6.27,   5.78,   4.88,   6.60,   3.32,   4.18
193409,   1.94,  -4.02,   2.55,   0.33,  -0.76,   0.80,  -0.04,  -0.21,  -0.91,   0.28
193410,  -7.06,  -7.24,  -6.92,  -4.34,  -2.66,  -4.89,  -2.17,  -1.34,   0.90,   1.51
193411,   5.98,   8.60,  10.07,  13.57,  12.43,  10.18,   7.83,   6.58,   6.95,   8.43
193412,  -6.30,  -3.63,   0.21,   0.43,  -0.79,   1.34,  -1.00,   0.74,   0.26,   0.38
193501,  -8.41,  -8.04,  -7.67,  -6.61,   0.21,  -6.94,  -4.22,  -1.98,  -3.24,  -2.39
193502, -14.92, -10.62, -10.77,  -6.04,  -5.01,  -4.21,   0.53,  -1.17,  -0.27,   2.22
193503,  -6.02,  -1.24,  -6.14,  -4.58,  -3.44,  -2.36,  -2.83,  -2.81,  -5.44,  -2.72
193504,  10.74,  17.01,  13.38,   7.59,  11.25,  12.03,  10.40,   9.50,   5.29,   7.22
193505,  15.44,   7.20,   1.79,   6.92,   5.59,   1.53,   4.65,   2.55,   2.33,   3.55
193506,   6.13,  10.55,   6.78,   6.73,   8.05,   7.82,   4.42,   6.87,   4.43,   5.80
193507,  18.62,  17.25,  14.31,  10.21,  10.08,   6.90,   5.01,   8.49,   3.50,   5.18
193508,  17.26,  13.72,   4.99,   3.95,   1.39,   3.64,   1.25,   4.02,  -0.06,  -0.63
193509,  -1.75,   0.63,   2.85,   4.89,   2.54,   3.27,   2.95,   2.97,   1.50,   1.96
193510,   9.94,  11.33,  12.20,   7.83,   8.98,   8.35,   4.41,   7.31,   3.68,   6.93
193511,  18.09,   4.26,  13.30,   6.09,   5.73,   4.83,   4.96,   3.45,   3.46,   1.88
193512,   5.95,   7.93,   7.38,   4.76,   6.69,   3.48,   3.66,   3.18,   2.85,   2.71
193601,  26.37,  11.50,   8.62,   7.47,   6.72,   6.30,   5.94,   4.19,   4.29,   3.34
