This file was created by CMPT_PRIOR_RETS using the 202302 CRSP database.
It contains value- and equal-weighted returns for  10 prior-return portfolios.
The portfolios are constructed monthly. PRIOR_RET is from - 1 to - 1.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
192602,  -7.81,  -5.00,  -3.97,  -3.74,  -4.72,  -1.32,  -1.79,  -1.51,  -2.60,  -5.29
192603, -17.24, -12.02, -12.23,  -5.21,  -8.55,  -4.47,  -4.90,  -4.91,  -3.86,  -8.32
192604,   1.97,   1.81,   2.13,   5.09,   4.02,   3.68,   4.73,   3.34,   4.12,   3.57
192605,  -3.08,   0.89,  -1.56,   1.13,   1.95,   2.59,   1.51,   0.42,   1.37,   1.17
192606,   7.33,   8.34,  11.65,   5.72,   7.86,   4.60,   4.07,   4.11,   3.68,   2.92
192607,  -2.44,   2.02,   2.32,   1.12,   3.25,   2.17,   1.83,   3.14,   1.53,  10.60
192608,   1.55,   3.66,   4.24,   2.47,   4.54,   3.62,   2.58,   1.63,   0.84,   4.16
192609,  -4.48,   1.37,  -0.74,   0.79,   0.19,   0.68,   0.44,  -1.68,   5.47,  -2.38
192610, -11.04,  -4.40,  -2.49,  -3.00,  -1.86,  -2.33,  -3.31,  -1.45,  -2.41,  -5.70
192611,  -1.25,   6.40,   3.46,   3.89,   4.74,   2.98,   2.14,   1.92,   1.67,   0.89
192612,   5.78,   2.99,   5.31,   3.58,   3.27,   2.97,   0.66,   4.19,   0.20,  -0.02
192701,  -1.37,  -0.45,  -1.37,   0.68,   0.46,   1.12,   0.19,   0.52,  -0.21,   0.03
192702,   3.32,   5.43,   5.63,   4.24,   4.55,   2.70,   3.14,   8.05,   4.43,   9.23
192703,  -7.05,  -4.88,  -0.32,   1.34,   0.82,   1.28,   0.13,   3.17,   4.32,  -4.08
192704,  -3.73,  -3.73,  -2.63,  -1.96,   0.34,   2.55,   0.87,   2.45,   1.10,   4.38
