This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 202302 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on INV.

The portfolios are constructed at the end of June.  INV, investment, is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,   -1.14,    0.32,    0.43,   -1.61,   -0.11,    0.60,    0.27,    0.55,   -2.34,   -0.69,   -0.12,   -0.10,    1.04,    0.25,    0.25,    0.30,    0.49,    0.73
196308,    5.84,    5.02,    5.54,    6.07,    5.35,    5.45,    4.53,    6.47,    5.40,    6.90,    5.34,    5.36,    5.64,    5.30,    4.54,    4.51,    6.05,    7.72
196309,   -1.43,   -1.09,   -1.08,   -0.62,   -1.39,   -2.44,   -0.48,   -1.33,   -0.83,   -0.37,   -3.21,   -0.32,   -2.76,   -2.18,   -0.26,   -0.80,   -1.15,   -1.85
196310,    2.28,    1.70,    5.98,    2.66,    0.93,    1.32,    3.22,    7.39,    2.91,    2.37,    1.41,    0.66,    0.95,    1.61,    2.41,    4.41,    8.41,    4.38
196311,    0.39,    0.02,   -2.04,    0.74,   -1.12,   -1.42,    0.88,   -3.47,    1.85,   -0.62,   -0.40,   -1.53,   -1.80,   -1.11,    1.77,   -0.40,   -4.39,   -0.64
196312,    2.10,    2.10,    2.42,    2.22,    3.09,    2.14,    2.41,    1.12,    2.19,    2.26,    1.83,    3.82,    1.84,    2.38,    1.43,    3.86,    1.13,    1.06
196401,    3.26,    2.26,    3.24,    3.28,    1.82,    1.87,    4.29,    0.55,    3.90,    2.51,    3.21,    1.04,    2.43,    1.43,    3.02,    6.14,    1.46,   -2.11
196402,    2.57,    1.64,    1.50,    2.56,    2.01,    1.80,    1.51,    1.48,    3.35,    1.57,    2.57,    1.68,    2.27,    1.43,    1.49,    1.53,    1.57,    1.22
196403,    4.13,    0.96,    1.77,    3.38,    4.25,    1.80,    0.80,    0.85,    2.41,    4.63,    5.88,    3.30,    2.63,    1.14,   -0.56,    2.70,    0.40,    2.19
196404,   -1.97,    1.11,    0.98,   -2.59,    0.75,    0.33,    0.71,    2.41,   -2.24,   -3.02,   -0.58,    1.55,    0.90,   -0.13,    1.56,   -0.44,    2.92,    0.89
