,,Quantile,Alpha PV,Alpha FF,Alpha CAPM,,Quantile,Alpha PV,Alpha FF,Alpha CAPM,,Quantile,Alpha PV,Alpha FF,Alpha CAPM
0,S&P 500,0.25,-2.12,-2.05,-2.29,S&P 500,0.5,0.89,0.94,0.93,S&P 500,0.75,3.55,3.91,3.43
1,,,(-4.58),(-4.12),(-4.42),,,(2.13),(2.28),(2.43),,,(8.95),(9.17),(8.86)
2,,,,,,,,,,,,,,,
3,R-Squared,,0.09,0.02,0.01,R-Squared,,0.06,0.0,0.0,R-Squared,,0.1,0.04,0.01
4,N,,200,200,200,N,,200,200,200,N,,200,200,200
0,EW Momentum 1,0.25,-1.41,-1.48,-3.7,EW Momentum 1,0.5,-0.17,-0.29,-1.42,EW Momentum 1,0.75,1.22,1.33,0.89
1,,,(-6.86),(-7.77),(-10.2),,,(-0.95),(-1.58),(-4.05),,,(6.86),(5.73),(2.47)
2,,,,,,,,,,,,,,,
3,R-Squared,,0.76,0.74,0.46,R-Squared,,0.73,0.7,0.41,R-Squared,,0.74,0.68,0.37
4,N,,200,200,200,N,,200,200,200,N,,200,200,200
0,EW Momentum 3,0.25,-0.35,-0.33,-1.0,EW Momentum 3,0.5,0.39,0.24,0.19,EW Momentum 3,0.75,1.09,1.03,1.49
1,,,(-3.35),(-2.98),(-5.17),,,(3.83),(2.22),(1.12),,,(10.62),(8.39),(8.4)
2,,,,,,,,,,,,,,,
3,R-Squared,,0.78,0.72,0.55,R-Squared,,0.75,0.7,0.52,R-Squared,,0.73,0.66,0.47
4,N,,200,200,200,N,,200,200,200,N,,200,200,200
0,EW Momentum 5,0.25,-0.33,-0.4,-1.35,EW Momentum 5,0.5,0.31,0.32,0.5,EW Momentum 5,0.75,1.09,1.25,2.23
1,,,(-3.21),(-3.42),(-4.8),,,(2.83),(2.77),(1.95),,,(9.51),(7.87),(7.43)
2,,,,,,,,,,,,,,,
3,R-Squared,,0.84,0.81,0.49,R-Squared,,0.8,0.77,0.43,R-Squared,,0.79,0.75,0.36
4,N,,200,200,200,N,,200,200,200,N,,200,200,200
